,Date,Text,User
37,2020-06-11 17:32:08,RT @revathitweets: 35 yr old man from Mehdipatnam tested positive for #Covid_19 and admitted at #GandhiHospital on 9th June. Lost life on 1…,UserDiedMacha
38,2020-06-11 17:31:50,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",ind_soldier
39,2020-06-11 17:31:34,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",ImArjun_M2R
40,2020-06-11 17:31:15,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",premdhfm
41,2020-06-11 17:31:03,"RT @revathitweets: 209 positives, 9 deaths and doctors at the ONLY #Covid hospital are still on strike. THREE nights since strike started,…",VRtarak
42,2020-06-11 17:30:21,"@NTR_Warrior @ysjagan @AndhraPradeshCM @ArogyaAndhra Seriously chepthunna bro, asalu tg nundi ochevallani total res… https://t.co/tsbM720fYl",rvjkrish
43,2020-06-11 17:30:10,"RT @MPsantoshtrs: Let's Embrace Season-3 #GreenIndiaChallenge. Amid #COVID situation all over, let us reconnect ourselves with the #Nature.…",Saaho12345
44,2020-06-11 17:30:10,#COVID__19 . Girls most #vulnerable. Promote #GirlChildEducation. Provide incentives to increase School enrollment.… https://t.co/L4TpYICXV4,tkp1080
45,2020-06-11 17:29:58,"RT @KVishReddy: Shameful state of Affairs in Telangana, the State that spends the lowest budget on Health.
Does the lowest No. of Tests in…",Ajaypanda9
46,2020-06-11 17:29:57,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",KSrinivasula
47,2020-06-11 17:29:45,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",Narasimmha
48,2020-06-11 17:29:36,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",Rocks10756786
49,2020-06-11 17:28:54,@Eatala_Rajender Sir better to lockdown Hyderabad till this monsoon to control day by day increasing more covid positive cases in Hyderabad,rakeshmudiraj
50,2020-06-11 17:28:39,"@amarendar991 @jaGUN_1974 Please read this also
https://t.co/XjL5KjUuVY",hafeez_srt
51,2020-06-11 17:28:37,"RT @MPsantoshtrs: Let's Embrace Season-3 #GreenIndiaChallenge. Amid #COVID situation all over, let us reconnect ourselves with the #Nature.…",koyal_kang
52,2020-06-11 17:28:24,A blood group cases develop severe Covid symptoms: New researches find blood groups play key role #COVID19… https://t.co/Rdcj9ewLMg,narayanagl
53,2020-06-11 17:28:09,RT @SQMasood: Publish Covid-19 data on front pages of all newspapers daily: Telangana HC to govt https://t.co/S7g8PuuQ0T via @ThePrintIndia,Pen_Paper_Ink
54,2020-06-11 17:27:21,"Despite protests, riots, COVID-19, Jamia in India's top 10 varsities #COVID19 #JamiaMilliaIslamia #NewDelhi #india https://t.co/2RXMogH8XL",TheHansIndiaWeb
55,2020-06-11 17:26:44,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",AdithyaPatelR
56,2020-06-11 17:26:34,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",Tarakntr11
57,2020-06-11 17:26:30,"Need to turn COVID 19 Crisis Into Opportunity to Create Atmanirbhar Bharat | PM Modi
https://t.co/evlgI0G2u4",etvandhraprades
58,2020-06-11 17:26:22,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",iShraas
59,2020-06-11 17:26:18,"@sambitswaraj Always find religion in everything
Shame on u

I hope u didnt visted him...

Asaram is also treating… https://t.co/Ah5qe3J04g",Drhassankhan984
60,2020-06-11 17:26:05,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",rohankrishna18
61,2020-06-11 17:25:55,RT @Ashi_IndiaToday: Shocking! absence of timely medical attention and lack of apathy killed a man in #Telangana. 52-YO #Hyderabad man died…,DRJAGADESH
62,2020-06-11 17:25:35,Wipro opens covid-dedicated hospital in Pune https://t.co/9HENOSSHll,TomorrowsNEWS4
63,2020-06-11 17:25:25,RT @ProNaMoSeva: #Covid spreading at an alarming rate in Telangana..another warning of what is in store for us if authorities don’t wake up…,Vicky44939132
64,2020-06-11 17:25:21,RT @revathitweets: 35 yr old man from Mehdipatnam tested positive for #Covid_19 and admitted at #GandhiHospital on 9th June. Lost life on 1…,Vicky44939132
65,2020-06-11 17:25:06,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",Uma_MaheshYadav
66,2020-06-11 17:25:02,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",CRamanaKumar
67,2020-06-11 17:24:43,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",sandeepboppana
68,2020-06-11 17:24:12,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",simpledude777
69,2020-06-11 17:24:11,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",RAG1391996
