0,1,2
2020-04-03 23:41:16+00:00,"#PMCARES Respecting the spirit of citizens’ desire to donate during COVID-19, the Prime Minister’s Citizen Assistance and Relief in Emergency Situations Fund is constituted. The PM CARES will go a long way in creating a healthier India. via NaMo App",KhurshidSuma
2020-04-03 23:40:57+00:00,"Ok bruh a couple in India just named their newborn children ""Covid"" and ""Corona"". What has the world come to ",RaffleBotter
2020-04-03 23:40:01+00:00,"Police officers in Kolkata, India. Preaching Covid 19 precautions via singing during lock down. ",szaman
2020-04-03 23:39:30+00:00,"When the world is infested by COVID-19 virus, in India we’re infested with braggadocio men, pelting stones on Police. It's irate! We're facing more danger from these. 1.4 billion lives are on stake. #NizamuddinFiasco @navsekera @ManishSShrma @upcoprahul @ipspankajnain",iashishsinghal
2020-04-03 23:38:32+00:00,Rs 56cr for innovations to combat Covid-19 pandemic | India News ,Newslin07952424
2020-04-03 23:38:17+00:00,@harbhajan_singh @YUVSTRONG12 han ji pak premiyon.. Kro ab tweet. India k liye aap logo n kuch contribution ki h ya phir pakistaniyon k liye collect krne m hi lge rhe? Iss age m common sense hi bech diya. #IndiaFightsCornona #COVID #PMCaresFund,Abhishek1seven
2020-04-03 23:38:12+00:00,Sana matapos na tong covid. Sana makapag trabaho na mga tiga india. Hindi ko bet saluhin trabaho niyo hahaha ok na ako sa work ko. Ayoko ng documents! ,jabi578
2020-04-03 23:38:01+00:00,#Coronavius #Nacimiento Una pareja de la India tuvo gemelos y los llamaron Corona y Covid ,DiarioTAG
2020-04-03 23:37:10+00:00,I hope it should come to india and developed as soon as possible without many delays and checkpoints as this Covid can infect at greater pace than seeking Approval of FDA. @PMOIndia,SanchitDixit11
2020-04-03 23:36:09+00:00,Two Babies Born in India Were Named Covid &amp; Corona #COVID2019 #كورونا,lolaaESM
2020-04-03 23:34:16+00:00,COVID-19 के खिलाफ हमारी लड़ाई के दौरान #CRPF बैंड का देश के नाम एक संदेश। The #CRPF band has a message for the nation as #IndiaFightsCorona . @HMOIndia @PIBHomeAffairs @PIB_India @MoHFW_INDIA @narendramodi @PMOIndia,Brand_RajBJP
2020-04-03 23:33:51+00:00,Baby twins named Corona and Covid after lockdown birth in India - National | http://Globalnews.ca,stephenrr
2020-04-03 23:33:44+00:00,Kolkata’s elderly sports stars lead by example in fight against COVID-19 – Times of India ,word_beyond
2020-04-03 23:30:59+00:00,nawt a lady in India naming her twins corona and covid ,kyungsooswing
2020-04-03 23:30:54+00:00,OMG Baby twins named Corona and Covid after lockdown birth in India ,PulecoUmi
2020-04-03 23:30:52+00:00,"Just because you are privileged enough to sit in the comfort of your lavish home and had many means to keep you motivated in this crisis time, critising this act of unity and hope is shameful, eventhough it may have a negligible impact on the #covidindia fight. Shameful",saurabhroy9
2020-04-03 23:30:45+00:00,Covid-19 kills more men than women across nations – india news ,allaboutbelagav
2020-04-03 23:29:45+00:00,"Covid-19: 16 die in a day; Tamil Nadu records 102 cases as India total tops 3,000 http://toi.in/raE3Va/a24gk via @timesofindia",RSRINIVASABABU1
2020-04-03 23:29:02+00:00,Tablighi super spreaders cause Covid-19 explosion in India: New Delhi: The Tablighi Jamaat connection to coronavirus cases in India is exploding as these superspreaders criss-cross the country to reach their… http://dlvr.it/RT7lSg #Covid19 #Featured #Health #India #NEWS,Weeklyvoice
2020-04-03 23:27:15+00:00,"Rest of the world: The biggest symptoms of #COVID19 are dry cough,fever and body aches. In #India: The biggest symptom of #COVID_19 is #Islamophobia. #TJKMKB #coronavirus #CoronaUpdatesInIndia",Aaapwala
2020-04-03 23:26:54+00:00,India Couple Names Twins As “Corona And Covid” https://www.conincstudio.com/india-couple-names-twins-as-corona-and-covid,Cms_Broadcast
2020-04-03 23:26:53+00:00,COVID-19: #InternationalFlights Evacuating Russians From Abroad To Be Suspended From April 4 #disobedientdss #worldpowers #climatesecurity #brexit #news #cybersecurity #covid #unsc #india #travel #china #breaking #wuhanoutbreak #breakingnews #wuhanvirus https://lnkd.in/eUwHkBW,HotNewsNaija
2020-04-03 23:26:03+00:00,I want to genuinely engage this conversation. From what I’ve read there were casualties on both sides but a majority were Muslim. Aren’t the tensions between Muslims and Hindus in India relevant to the spread of Covid-19 in this case?,cnunez92
2020-04-03 23:25:58+00:00,"W.r.t. fighting covid-19, India has made many mistakes on some things and has done very well on some things. To call it ""one of the worst countries in the world"", is a very strong and unfair statement.",prernachikersal
2020-04-03 23:25:49+00:00,"Coronavirus in India: Covid-19 cases top 2,550, 9 linked to Tablighi Jamaat event test positive in Rajasthan ",SouthGujarat
