0,1,2
2020-04-18 23:59:48+00:00,RD recibe 200 mil tabletas de hidroxicloroquina donadas por la India para tratar COVID-19 ,DomiExterior
2020-04-18 23:59:33+00:00,Four people at Portland retirement community tested positive for COVID-19 – India Gone Viral ,k29664911
2020-04-18 23:59:11+00:00,Global supply chain with less dependence on China to be positive outcome of Covid-19: Anand Mahindra – Times of India https://www.gadgets360technews.com/global-supply-chain-with-less-dependence-on-china-to-be-positive-outcome-of-covid-19-anand-mahindra-times-of-india/,Gadgets360tech1
2020-04-18 23:59:04+00:00,"To avoid hostile takeovers amid COVID-19, India mandates approvals on Chinese investments ",Darge_Hayera
2020-04-18 23:58:35+00:00,Most dangerous country for women... #India #Pakistan #uae #COVID #Covid_19,KhanIffee
2020-04-18 23:58:28+00:00,RD recibe 200 mil tabletas de hidroxicloroquina donadas por India para tratar COVID-19 https://diariodetodos.do/nacional/rd-recibe-200-mil-tabletas-de-hidroxicloroquina-donadas-por-india-para-tratar-covid-19/,DiariodetodosDo
2020-04-18 23:58:19+00:00,"#IndiaFightsCorona Given the scale of the challenge, India's response to COVID-19 has been backed by coordinated action plans. India’s proactive plans hold lessons for the other countries too. Shared by #VinodKBijarnia #VKB_IN #VKBIN",VKB_IN
2020-04-18 23:57:34+00:00,"India is doing great with covid-19 situation and can give relaxation to people and companies to start the regular work again but I would like to request the government of India that this relaxation should come with term of not leaving the town Lesser movement, the faster recovery",MathewG44055050
2020-04-18 23:57:24+00:00,#ARGENTINA TURN TO #CHINA FOR URGENTLY NEEDED MEDICAL SUPPLIES SOURCE: https://www.cgtn.com/tv #Covid_19 #Coronavirus #Brazil #Chile #Peru #LatinAmerica #Africa #SouthAfrica #Russia #India ,johnnyh92539958
2020-04-18 23:57:22+00:00,"#IndiaUnitedAgainstCorona India’s battle against COVID-19 is far from won, but the coordinated efforts of 130 crore Indians against COVID-19 is unprecedented in world history. Shared by #VinodKBijarnia #VKB_IN #VKBIN",VKB_IN
2020-04-18 23:56:38+00:00,Question with the question is the answer??? Q : Why an ophthalmologist heading a COVID-19 operation Q-&gt;Q (Ans) : Why an Economy student is heading the Reserve bank of India Me in me looking at me and answering me on question asked by me.,MadaviR1
2020-04-18 23:56:04+00:00,"In India Covid-19 Verry past Spreading this control Verry tuff, Because population is 130cr+ But Govt want to pace Crucial time and people's also but now Emergency all India must do minimum 3 months Fully Shuddown/Seeal Down and Govt want to take care services continue... ",Shekhar11794829
2020-04-18 23:55:53+00:00,"Por favor el premio India Catalina para el periodista que publicó esta sin duda la noticia del trimestre, por encima del #Covid_19 . Como se nota la inteligencia del periodista, demuestra sus años de estudio, aplausos!",JosseAlexxander
2020-04-18 23:54:39+00:00,@GlblCtzn @ChrisOfColdplay @coldplay Thanks for giving us #TogetherAtHome Let's show our solidarity and appreciation for #CoronaWarriors and #frontlinewarrior through-out the globe. We can beat #Covid_19 by being a global citizen. Let's rise above hate. Much love from India ,Irreverent_KUP
2020-04-18 23:54:39+00:00,How come US gas stations are so behind China and India in accepting contactless payments at the pump? Will Covid accelerate change in last mile contactless payments in the US? #DigitalTransformation #digitalpayments #contactlesscommerce,shared_services
2020-04-18 23:53:37+00:00,South Dakota is now posting negative COVID-19 test numbers for each county - ,gone_india
2020-04-18 23:53:33+00:00,"Fighting Stigma : Covid-19 cure percentage at 14% in India: Health Ministry: Covid-19 cure percentage at 14% in India: Health Ministry. “The overall cure percentage in the country is 13.85%, taking into account the number of ... http://dlvr.it/RV21wy",PairsonnalitesU
2020-04-18 23:53:24+00:00,India thanks @vijayrupanibjp #ChiefMinisterGujarat &amp; @Nitinbhai_Patel #HealthMinister for pioneering free #PlasmaTherapy for #Covid_19india @government hospital in #Gujarat. @navgujaratsamay @republic @ZeeNews @AsitKumarrModi @TheArijitSingh @narendramodi @BeingSalmanKhan @WHO,BestOrthoDr
2020-04-18 23:53:23+00:00,To @MoHFW_INDIA Dr. Nikesh Patel DROW COVID-19 ,PatelYakesh
2020-04-18 23:53:20+00:00,India Fights against Covid-19 thank you so much swetaerlend ,ashu880880
2020-04-18 23:53:09+00:00,#UAE #Covid_19 #COVID2019 #India #Pakistan #Mydubai #emiratespalace #tourist #tourism #Kashmir,KhanIffee
2020-04-18 23:52:29+00:00,"Why R we depending on China? Or India? We have intelligent people at home. Have we not learnt our lessons yet ? COVID-19: China suspends trial of remdesivir, a potential antiviral agent, because there aren’t enough sick patients – National Post ",sandyteez
2020-04-18 23:51:36+00:00,"To avoid hostile takeovers amid COVID-19, India mandates approvals on Chinese investments - ",frustratedspn
2020-04-18 23:51:16+00:00,Thankyou so much sir for Care people of india....we love you from sikkim. There is no symptom of covid-19.. Because of your dedication towards our...thankyou..#COVID19outbreak #sikkim @BJP4Sikkim @PMOIndia @narendramodi,RahulSu97619409
2020-04-18 23:50:57+00:00,Dr @Swamy39 ‘India now has 672 dedicated Covid hospitals’ - The Sunday Guardian Live https://www.sundayguardianlive.com/news/india-now-672-dedicated-covid-hospitals#.XpuSR3lUBZ0.twitter @jagdishshetty,ArtiSharma001
2020-04-18 23:50:39+00:00,"India has 14,972 confirmed COVID-19 cases and 488 deaths https://www.ground-beyond-zero.com/showthread.php?tid=84557&amp;pid=310422#.XpuSTan6dYE.twitter",Miss_PiggYstar
2020-04-18 23:50:34+00:00,#Noticias Científicos de la India prueban una vacuna contra la lepra para tratar el Covid-19 ,Carul_S
2020-04-18 23:48:12+00:00,Definitely a loss for poor who was waiting for @AjazkhanActor in this #Covid_19 every day for food but due to conspiracy they can't get. #ReleaseAjazkhan harsh reality but yes India has more educated morons.,AzmatAz45393946
2020-04-18 23:48:06+00:00,W.t.f....! India is (almost) in list top 10 countries in reporting daily new cases ! 1370 new cases in a day !! #CoronaVirus #Covid_19 #ChineseVirus,The_NisHIT
2020-04-18 23:48:04+00:00,"India and Mexico have asymmetrically low numbers as well. The third world seems to be unaffected. Because #COVID is fake. These India, France, and Germany numbers are ridiculous. #qanon.",MorninglightWGA
2020-04-18 23:47:48+00:00,"""India’s relatively light exposure to Covid-19 remains a puzzle. It may have certain characteristics that protect it from the deadliest impact, but they do not suggest that it will escape the pandemic unscathed."" ",rowenawallflowr
