"words","negative","positive","polarity","pos_or_neg"
"clean",0,138,138,"positive"
"crisis",153,0,-153,"negative"
"death",207,0,-207,"negative"
"free",0,137,137,"positive"
"outbreak",304,0,-304,"negative"
"panic",146,0,-146,"negative"
"positive",0,315,315,"positive"
"rumours",140,0,-140,"negative"
"safe",0,296,296,"positive"
"sick",128,0,-128,"negative"
"support",0,137,137,"positive"
"virus",706,0,-706,"negative"
